PL,RMS,PL_RMS_ratio,RMS_PL_ratio,PL_RMS_product,PL_squared,RMS_squared,PL_sqrt,RMS_sqrt,PL_log,RMS_log,PL_exp,RMS_exp,radius,angle,manhattan_dist,quadrant,X_Y_product,PL_group_mean,PL_group_std,RMS_group_mean,RMS_group_std,FSPL_2.4GHz,PL_excess,r,source_file
63.6,8.68,7.327188940007752,0.13647798742116904,552.048,4044.96,75.3424,7.974960814950754,2.946183972531247,4.168214410788556,2.2700619012884857,1.8889101074258496,2.382141802457978,1641.726225653961,-2.404883878357684,2319,0,1341248,63.068999999999996,0.7815324464308061,8.649650000000001,0.5737318350875825,104.36023955127752,-40.760239551277515,1641.73,engineered
63.4,9.25,6.854054053979956,0.14589905362753014,586.4499999999999,4019.56,85.5625,7.962411694957753,3.0413812651491097,4.165113633110308,2.327277705584417,1.8851360625139246,2.521868260358148,1310.112208934792,-2.5199234702466833,1828,0,812595,63.068999999999996,0.7815324464308061,8.649650000000001,0.5737318350875825,102.40039471122967,-39.00039471122967,1310.11,engineered
63.2,8.79,7.189988623353926,0.13908227848079258,555.528,3994.2400000000002,77.26409999999998,7.9498427657407165,2.9647934160747185,4.162003210695915,2.281361456542419,1.8813695581487633,2.4084900117589294,1390.3053621417132,-2.090120869088415,1897,0,832830,63.068999999999996,0.7815324464308061,8.649650000000001,0.5737318350875825,102.91642878936167,-39.71642878936167,1390.31,engineered
62.0,8.17,7.588739289992794,0.13177419354817455,506.54,3844.0,66.74889999999999,7.874007874011811,2.8583211855912904,4.143134726391533,2.2159372862683733,1.858928041846342,2.263698545059486,1102.4450099664834,-1.7017893876565704,1237,0,157392,63.068999999999996,0.7815324464308061,8.649650000000001,0.5737318350875825,100.90136355505817,-38.90136355505817,1102.45,engineered
61.4,7.89,7.782002534755615,0.12850162866428583,484.44599999999997,3769.96,62.25209999999999,7.835815209663893,2.808914381037628,4.133565275375382,2.1849270495258133,1.8478078674788694,2.2011941311607526,808.6661857651771,-2.0184054881279727,1079,0,255150,63.068999999999996,0.7815324464308061,8.649650000000001,0.5737318350875825,98.209610505086,-36.809610505086006,808.67,engineered
61.8,8.07,7.657992564960867,0.13058252427163336,498.726,3819.24,65.12490000000001,7.861297602813418,2.8407745422683583,4.139955073474153,2.2049722641270453,1.855213901141401,2.2411743681943785,1225.2530350911195,-1.8638947708299012,1527,0,415242,63.068999999999996,0.7815324464308061,8.649650000000001,0.5737318350875825,101.81874057388933,-40.01874057388933,1225.25,engineered
63.8,9.16,6.965065502107368,0.14357366771137373,584.408,4070.4399999999996,83.9056,7.987490219086343,3.026549190084311,4.1713056033582285,2.318458442150336,1.8926917079807226,2.499273275960652,2138.676459869515,-2.6359020232842996,2907,0,1938356,63.068999999999996,0.7815324464308061,8.649650000000001,0.5737318350875825,106.65712661896697,-42.85712661896697,2138.68,engineered
62.7,8.49,7.38515901051372,0.13540669856437734,532.3230000000001,3931.2900000000004,72.0801,7.918333157931662,2.9137604568666933,4.154184562578117,2.2502386126218363,1.8719861883312423,2.3373083745076473,1668.2964364884317,-2.5269873136508565,2325,0,1311206,63.068999999999996,0.7815324464308061,8.649650000000001,0.5737318350875825,104.49968927696528,-41.79968927696528,1668.3,engineered
63.4,8.51,7.450058754319036,0.13422712933732772,539.534,4019.56,72.42009999999999,7.962411694957753,2.9171904291629644,4.165113633110308,2.252343876557299,1.8851360625139246,2.3419876689913814,1582.139374391523,-2.2275709922723554,2219,0,1210398,63.068999999999996,0.7815324464308061,8.649650000000001,0.5737318350875825,104.03911961168814,-40.63911961168814,1582.14,engineered
64.1,9.39,6.826411075539654,0.14648985959415525,601.899,4108.8099999999995,88.17210000000001,8.006247560499238,3.0643106892089125,4.175924549214524,2.340843805111136,1.898378308740855,2.5574227164750947,1737.8161582860255,-2.417674190334679,2453,0,1498602,63.068999999999996,0.7815324464308061,8.649650000000001,0.5737318350875825,104.85430145410416,-40.754301454104166,1737.82,engineered
